pose_number,name,avg_energy_percentage,avg_circles_curves_percentage,avg_axis_points_percentage,avg_synchronous_limbs_percentage,avg_external_body_spaces_percentage,avg_shifting_relations_percentage,max_energy_percentage,max_circles_curves_percentage,max_axis_points_percentage,max_synchronous_limbs_percentage,max_external_body_spaces_percentage,max_shifting_relations_percentage
1,เทพประนม — The Salutation of the Angels,39.676,38.870,73.429,79.133,27.885,20.867,98.942,96.414,81.399,94.804,95.000,45.489
2,ปฐม — The Beginning,34.180,31.683,81.489,74.679,37.832,25.321,96.374,100.000,90.994,91.950,95.000,53.916
3,พรหมสี่หน้า — The Four-Faced Brahma,27.139,26.335,70.368,76.212,55.520,23.788,96.686,100.000,89.947,93.758,95.000,65.330
4,สอดสร้อยมาลา — Stringing a Garland,34.672,35.605,69.447,68.525,43.723,31.475,95.263,100.000,74.895,92.702,95.000,77.442
5,ช้านางนอน — Lulling a Lady to Sleep,32.731,32.049,68.304,60.759,32.325,39.241,100.000,100.000,85.070,92.309,95.000,78.512
6,ผาลาเพียงไหล่ — A Hillock Reaching Only Up to the Shoulder,45.613,40.775,68.189,70.876,60.569,29.124,93.227,100.000,73.165,91.105,95.000,75.038
7,พิศมัยเรียงหมอน — An Intimate Love,30.450,29.563,75.320,73.036,60.227,26.964,96.693,100.000,81.815,92.960,95.000,72.457
8,กังหันร่อน — A Flying Turbine,25.632,38.855,75.003,71.018,44.973,28.982,93.366,96.184,84.507,91.138,95.000,57.917
9,ภมรเคล้า — A Bee Wallowing in a Flower,44.424,39.286,70.841,64.598,57.673,35.402,100.000,100.000,83.622,85.860,95.000,69.322
10,แขกเต้าเข้ารัง — A Parakeet Entering the Nest,42.406,39.048,67.532,76.909,38.848,23.091,98.056,100.000,79.898,93.223,95.000,50.662
11,กระต่ายชมจันทร์ — A Rabbit Admiring the Moon,37.063,31.233,75.560,69.201,59.252,30.799,93.960,100.000,90.529,90.911,95.000,63.215
12,จันทร์ทรงกลด — A Moon Halo,44.537,35.861,80.035,73.139,67.593,26.861,93.443,100.000,93.767,94.633,95.000,63.874
13,พระรถโยนสาร — Phra Rod Throwing an Epistle,34.516,52.996,69.444,59.611,42.604,40.389,100.000,100.000,83.799,86.582,95.000,65.634
14,จ่อเพลิงกาล — Lighting Up a Great Fire,48.708,38.334,68.904,54.516,41.387,45.484,93.806,100.000,73.233,87.029,95.000,78.397
15,หณุมานผลาญยักษ์ — Hanuman Kills the Giants,47.033,39.678,67.175,59.752,42.406,40.248,94.017,98.608,68.691,89.160,95.000,68.285
16,พระรามโก่งศร (พระหริรักษ์โก่งศิลป์) — Rama Arches His Arrow,40.100,29.204,75.387,65.294,61.023,34.706,93.922,100.000,88.972,91.663,95.000,75.892
17,ช้างประสานงา (คชรินทร์ประสานงา) — Elephants Clashing Their Tusks,38.335,36.957,87.009,77.019,38.659,22.981,100.000,100.000,93.677,92.225,95.000,48.530
18,ช้างสบัดหญ้า — An Elephant Shaking Grasses,34.036,27.374,71.452,64.037,71.232,35.963,96.396,100.000,90.923,90.538,95.000,70.311
19,ขี่ม้าตีคลี — Playing Horseback Polo,42.873,40.968,67.554,71.668,38.460,28.332,97.363,100.000,68.805,94.037,95.000,58.322
20,สารถีชักรถ — A Charioteer Controlling a Chariot,34.168,27.039,68.199,61.789,55.958,38.211,100.000,100.000,70.039,87.904,95.000,80.665
21,กลดพระสุเมรุ — The Aureole of the Sumeru Mountain,34.168,27.039,68.199,61.789,55.958,38.211,100.000,100.000,70.039,87.904,95.000,80.665
22,ตระเวนเวหา — Flying through the Sky,38.869,30.857,67.023,69.314,65.961,30.686,98.070,100.000,78.554,93.070,95.000,68.065
23,นาคาม้วนหาง — Naga Rolling Its Tail,41.624,32.897,73.493,70.649,47.918,29.351,94.386,100.000,81.072,90.994,95.000,58.916
24,กวางเดินดง — A Deer Wandering in a Forest,45.191,40.694,69.054,75.186,50.546,24.814,96.767,99.601,75.686,94.076,95.000,61.333
25,หงส์ลีลา — A Swan Gliding,44.050,40.254,69.394,60.149,63.522,39.851,95.121,100.000,75.671,90.793,95.000,67.037
26,ชักแป้งผัดหน้า — Powdering the Face,42.242,34.894,71.601,66.661,64.105,33.339,93.634,100.000,86.427,92.434,95.000,60.556
27,เหราเล่นน้ำ — A Hera Playing in Water,36.625,39.226,69.771,68.154,40.545,31.846,96.246,97.376,75.955,91.641,95.000,81.623
28,กินนรเลียบถ้ำ — A Kinnorn Walking Around the Cave,33.541,34.660,70.109,68.637,64.410,31.363,98.400,100.000,87.423,93.459,95.000,63.324
29,ยังคิดประดิษฐ์รำ — Creating New Dance Poses,31.562,43.940,82.131,72.294,35.480,27.706,96.423,100.000,90.415,92.050,95.000,65.030
30,กระหวัดเกล้า — Tidying Up the Hair,29.317,36.456,71.219,59.447,64.395,40.553,100.000,100.000,88.803,90.803,95.000,73.504
31,ตีโทนโยนทับ — Beating the Drum,44.710,31.142,69.369,66.152,49.655,33.848,94.357,100.000,80.425,88.570,95.000,68.180
32,งูขว้างค้อน — Malayan Pit Viper,44.709,31.143,69.369,66.158,49.655,33.842,94.364,100.000,80.425,88.570,95.000,68.180
33,มัจฉาชมสาคร — A Fish Swimming in a River,28.322,39.785,68.074,63.427,43.216,36.573,99.428,98.756,71.318,89.303,95.000,62.981
34,กินนรฟ้อนโอ้ — A Kinnorn Dancing,42.941,44.302,69.235,58.162,63.153,41.838,95.328,100.000,82.655,85.338,95.000,76.620
